Issued date,Sales order Number,Sales Order ID,SO Item ID,Account ID,SO Item Product Number,Product ID,Product,Billing Address,Billing City,Billing State,Billing Zip,Sales Rep Initials,Customer Name,Item,Product Description,Account ID,Sales person,Qty Fulfilled,Unit price,Total price,Total cost,Sales Order Line Item,So ct
01-05-2026,10103,25198,76301,977,KB-3000,207,KB-3000,6527 S Cedar St. Suite A,Lansing,Michigan,48911,ADM,WILD SIDE LANSING-LS (MI),KB-3000,Focus+Flow 12PK,977,admin,8,$55.80,$446.40,$41.96,2.00,2.00
01-05-2026,10113,25207,76316,854,KB-3000,207,KB-3000,"1194 Highway 544 , Unit 3",Conway,South Carolina,29526,ADM,WILD SIDE CONWAY-CW (SC),KB-3000,Focus+Flow 12PK,854,admin,12,$55.80,$669.60,$62.94,2.00,2.00
01-05-2026,10114,25208,76317,1024,KB-3000,207,KB-3000,1029 W. University Ave,Gainesville,Florida,32601,ADM,WILD SIDE GAINESVILLE-GV2 (FL),KB-3000,Focus+Flow 12PK,1024,admin,14,$55.80,$781.20,$73.42,2.00,2.00
01-05-2026,10116,25210,76320,857,KB-3000,207,KB-3000,"4802 S. Center St., Suite B",Tacoma,Washington,98409,ADM,WILD SIDE TACOMA-TC (WA),KB-3000,Focus+Flow 12PK,857,admin,20,$55.80,"$1,116.00",$104.89,2.00,2.00
01-05-2026,10084,25178,76235,869,KB-3001,193,KB-3001,111 S River Rd Suite C,West Lafayette,Indiana,47906,ADM,WILD SIDE WEST LAFAYETTE-LF (IN),KB-3001,Release + Relax 12pk,869,admin,6,$55.80,$334.80,$99.00,2.00,2.00
01-05-2026,10103,25198,76302,977,KB-3001,193,KB-3001,6527 S Cedar St. Suite A,Lansing,Michigan,48911,ADM,WILD SIDE LANSING-LS (MI),KB-3001,Release + Relax 12pk,977,admin,4,$55.80,$223.20,$66.00,4.00,2.00
01-05-2026,10115,25209,76318,1071,KB-3001,193,KB-3001,604 S. Neil St. Suite 103,Champaign,Illinois,61820,ADM,WILD SIDE CHAMPAIGN-CP2 (IL),KB-3001,Release + Relax 12pk,1071,admin,4,$55.80,$223.20,$66.00,2.00,2.00
01-05-2026,10085,25179,76242,864,KB-3002,196,KB-3002,102 Portland St,Portland,Maine,4101,ADM,WILD SIDE PORTLAND-PT (ME),KB-3002,Zoom 12PK,864,admin,4,$42.00,$168.00,$64.92,2.00,2.00
01-05-2026,10098,25192,76280,1068,KB-3002,196,KB-3002,1728 Fordham Blvd Suite 147,Chapel Hill,North Carolina,27517,ADM,SMOKE RINGS CHAPEL HILL-CH2 (NC),KB-3002,Zoom 12PK,1068,admin,10,$42.00,$420.00,$162.30,2.00,2.00
01-05-2026,10100,25196,76298,245,KB-3003,204,KB-3003,607 n Orchard,boise,Idaho,83706,ADM,Elevated Alternatives,KB-3003,Mango-Tango 12pk,245,admin,2,$60.00,$120.00,$34.47,4.00,1.00
01-05-2026,10078,25171,76201,948,KB-4000,206,KB-4000,"1750 E Los Angeles Ave 
Suite D",Simi Valley,California,93065,ADM,WILD SIDE SIMI VALLEY-SIMI (CA),KB-4000,Focus MC12,948,admin,2,$669.60,"$1,339.20",$458.37,2.00,2.00
01-05-2026,10081,25175,76219,1022,KB-4000,206,KB-4000,"ATTN: Mason, 4070 Plaza Dr",Casper,Wyoming,82604,BG,iCloud Vape and Smoke | Casper,KB-4000,Focus MC12,1022,BrandonG,2,$684.00,"$1,368.00",$458.37,1.00,1.00
01-05-2026,10082,25176,76221,730,KB-4000,206,KB-4000,"1540 S Holly St, Unit #5",Denver,Colorado,80222,BG,Mile High Botanicals,KB-4000,Focus MC12,730,BrandonG,2,$720.00,"$1,440.00",$444.89,1.00,1.00
01-05-2026,10083,25177,76228,981,KB-4000,206,KB-4000,332 College St,Amherst,Massachusetts,1002,ADM,WILD SIDE AMHERST-AM1 (MA),KB-4000,Focus MC12,981,admin,6,$669.60,"$4,017.60","$1,375.10",2.00,2.00
01-05-2026,10085,25179,76243,864,KB-4000,206,KB-4000,102 Portland St,Portland,Maine,4101,ADM,WILD SIDE PORTLAND-PT (ME),KB-4000,Focus MC12,864,admin,2,$669.60,"$1,339.20",$444.89,4.00,2.00
01-05-2026,10089,25185,76263,450,KB-4000,206,KB-4000,342 Canal St,New York,New York,10013,DW,Canal Smoke Shop,KB-4000,Focus MC12,450,DerekW,1,$720.00,$720.00,$222.45,1.00,1.00
01-05-2026,10090,25186,76265,2046,KB-4000,206,KB-4000,5804 W FRANKLIN RD,Boise,Idaho,83709,BW,Unio Enterprises LLC,KB-4000,Focus MC12,2046,BenW,5,$626.40,"$3,132.00","$1,097.95",1.00,1.00
01-05-2026,10092,25187,76270,1966,KB-4000,206,KB-4000,6290 W Seltice Way Suite 105,Post Falls,Idaho,83854,JL,White Cloud- Post Falls,KB-4000,Focus MC12,1966,Jared,30,$612.00,"$18,360.00","$6,591.95",1.00,1.00
01-05-2026,10094,25188,76274,862,KB-4000,206,KB-4000,1106 Burke St,Winston-Salem,North Carolina,27101,ADM,SMOKE RINGS WINSTON SALEM-WS (NC),KB-4000,Focus MC12,862,admin,2,$669.60,"$1,339.20",$444.89,2.00,2.00
01-05-2026,10095,25189,76276,860,KB-4000,206,KB-4000,1207 S Kerr Ave,Wilmington,North Carolina,28403,ADM,SMOKE RINGS WILMINGTON-WT (NC),KB-4000,Focus MC12,860,admin,2,$669.60,"$1,339.20",$444.89,2.00,2.00
01-05-2026,10099,25195,76294,1018,KB-4000,206,KB-4000,"405 W. University Dr.
Suite 102",Tempe,Arizona,85281,ADM,WILD SIDE TEMPE-TP (AZ),KB-4000,Focus MC12,1018,admin,2,$669.60,"$1,339.20",$433.67,2.00,2.00
01-05-2026,10100,25196,76295,245,KB-4000,206,KB-4000,607 n Orchard,boise,Idaho,83706,ADM,Elevated Alternatives,KB-4000,Focus MC12,245,admin,4,$576.00,"$2,304.00",$878.36,1.00,1.00
01-05-2026,10102,25197,76299,1418,KB-4000,206,KB-4000,203 Caldwell Blvd,Nampa,Idaho,83651,ADM,Viable Alternatives - Nampa,KB-4000,Focus MC12,1418,admin,3,$684.00,"$2,052.00",$669.45,1.00,1.00
01-05-2026,10105,25200,76304,1003,KB-4000,206,KB-4000,2850 Johnson Dr Suite C,Ventura,California,93003,ADM,WILD SIDE VENTURA-JOHNSON (CA),KB-4000,Focus MC12,1003,admin,6,$669.60,"$4,017.60","$1,301.01",2.00,2.00
01-05-2026,10106,25201,76305,1575,KB-4000,206,KB-4000,51 W 14th St,New York,New York,10011,DW,Cigarville Inc,KB-4000,Focus MC12,1575,DerekW,1,-$720.00,-$720.00,-$219.73,1.00,1.00
01-05-2026,10107,25202,76306,1447,KB-4000,206,KB-4000,655 N Five Mile Road,Boise,Idaho,83713,ADM,Good Vibes Boise,KB-4000,Focus MC12,1447,admin,4,$576.00,"$2,304.00",$909.43,1.00,1.00
01-05-2026,10108,25203,76308,861,KB-4000,206,KB-4000,25 Enfield St,Enfield,Connecticut,6082,ADM,SMOKE ZONE ENFIELD-EN (CT),KB-4000,Focus MC12,861,admin,6,$669.60,"$4,017.60","$1,301.01",2.00,2.00
01-05-2026,10110,25205,76311,863,KB-4000,206,KB-4000,1350 Elm St,Manchester,New Hampshire,3101,ADM,WILD SIDE MANCHESTER-MC1 (NH),KB-4000,Focus MC12,863,admin,2,$669.60,"$1,339.20",$433.67,2.00,2.00
01-05-2026,10112,25206,76312,849,KB-4000,206,KB-4000,"820 Nw 9th St, Suite 104",corvallis,Oregon,97330,ADM,WILD SIDE CORVALLIS-CV (OR),KB-4000,Focus MC12,849,admin,2,$669.60,"$1,339.20",$433.67,2.00,2.00
01-05-2026,10118,25213,76327,1155,KB-4000,206,KB-4000,4901 Levick Street,philadelphia,Pennsylvania,19135,DW,Tacony,KB-4000,Focus MC12,1155,DerekW,112,$576.00,"$64,512.00","$25,464.16",1.00,1.00
01-05-2026,10119,25214,76341,1478,KB-4000,206,KB-4000,6485 E River Rd,Fridley,Minnesota,55432,ADM,River Tobacco,KB-4000,Focus MC12,1478,admin,2,$720.00,"$1,440.00",$433.67,1.00,1.00
01-05-2026,10107,25202,76307,1447,KB-4002,197,KB-4002,655 N Five Mile Road,Boise,Idaho,83713,ADM,Good Vibes Boise,KB-4002,Zoom MC (12 boxes),1447,admin,1,$468.00,$468.00,$119.31,2.00,1.00
01-05-2026,10076,25169,76191,1644,Shipping,11,Shipping,1 Coppland St,Quincy,Massachusetts,2169,DW,New Smoke Shop,Shipping,Shipping,1644,DerekW,1,$0.00,$0.00,$0.05,2.00,1.00
01-05-2026,10076,25169,76266,1644,Shipping,11,Shipping,1 Coppland St,Quincy,Massachusetts,2169,DW,New Smoke Shop,Shipping,Shipping Tracking: 1Z90V7160338375915,1644,DerekW,1,$0.00,$0.00,$0.00,3.00,1.00
01-05-2026,10078,25171,76232,948,Shipping,11,Shipping,"1750 E Los Angeles Ave 
Suite D",Simi Valley,California,93065,ADM,WILD SIDE SIMI VALLEY-SIMI (CA),Shipping,Shipping Tracking: 1Z90V7160313659530,948,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10079,25172,76206,1676,Shipping,11,Shipping,1440 S Washington St,Grand Forks,North Dakota,58201,BG,Pluto's Smoke Shop | ND,Shipping,Shipping,1676,BrandonG,1,$15.00,$15.00,$0.05,2.00,1.00
01-05-2026,10079,25172,76329,1676,Shipping,11,Shipping,1440 S Washington St,Grand Forks,North Dakota,58201,BG,Pluto's Smoke Shop | ND,Shipping,Shipping Tracking: 1Z90V7160315860479,1676,BrandonG,1,$0.00,$0.00,$0.00,4.00,1.00
01-05-2026,10081,25175,76237,1022,Shipping,11,Shipping,"ATTN: Mason, 4070 Plaza Dr",Casper,Wyoming,82604,BG,iCloud Vape and Smoke | Casper,Shipping,Shipping Tracking: 1Z90V7160300440941,1022,BrandonG,1,$0.00,$0.00,$0.00,3.00,1.00
01-05-2026,10082,25176,76268,730,Shipping,11,Shipping,"1540 S Holly St, Unit #5",Denver,Colorado,80222,BG,Mile High Botanicals,Shipping,Shipping Tracking: 1Z90V7160310210608,730,BrandonG,1,$0.00,$0.00,$0.00,2.00,1.00
01-05-2026,10083,25177,76240,981,Shipping,11,Shipping,332 College St,Amherst,Massachusetts,1002,ADM,WILD SIDE AMHERST-AM1 (MA),Shipping,Shipping Tracking: 1Z90V7160316119368,981,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10084,25178,76239,869,Shipping,11,Shipping,111 S River Rd Suite C,West Lafayette,Indiana,47906,ADM,WILD SIDE WEST LAFAYETTE-LF (IN),Shipping,Shipping Tracking: 1Z90V7160329863879,869,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10085,25179,76250,864,Shipping,11,Shipping,102 Portland St,Portland,Maine,4101,ADM,WILD SIDE PORTLAND-PT (ME),Shipping,Shipping Tracking: 1Z90V7160322321494,864,admin,2,$0.00,$0.00,$0.00,8.00,2.00
01-05-2026,10087,25181,76256,991,Shipping,11,Shipping,2909 Howard St,Kalamazoo,Michigan,49006,ADM,WILD SIDE KALAMAZOO-KZ (MI),Shipping,Shipping Tracking: 1Z90V7160311085994,991,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10089,25185,76264,450,Shipping,11,Shipping,342 Canal St,New York,New York,10013,DW,Canal Smoke Shop,Shipping,Shipping,450,DerekW,1,$25.00,$25.00,$0.05,2.00,1.00
01-05-2026,10089,25185,76269,450,Shipping,11,Shipping,342 Canal St,New York,New York,10013,DW,Canal Smoke Shop,Shipping,Shipping Tracking: 1Z90V7160302287426,450,DerekW,1,$0.00,$0.00,$0.00,3.00,1.00
01-05-2026,10090,25186,76741,2046,Shipping,11,Shipping,5804 W FRANKLIN RD,Boise,Idaho,83709,BW,Unio Enterprises LLC,Shipping,Shipping Tracking: WILL CALL,2046,BenW,1,$0.00,$0.00,$0.00,2.00,1.00
01-05-2026,10092,25187,76271,1966,Shipping,11,Shipping,6290 W Seltice Way Suite 105,Post Falls,Idaho,83854,JL,White Cloud- Post Falls,Shipping,Shipping,1966,Jared,1,$228.00,$228.00,$0.05,2.00,1.00
01-05-2026,10092,25187,76319,1966,Shipping,11,Shipping,6290 W Seltice Way Suite 105,Post Falls,Idaho,83854,JL,White Cloud- Post Falls,Shipping,Shipping Tracking: https://www.saia.com/track/details;pro=77121451970,1966,Jared,1,$0.00,$0.00,$0.00,4.00,1.00
01-05-2026,10094,25188,76285,862,Shipping,11,Shipping,1106 Burke St,Winston-Salem,North Carolina,27101,ADM,SMOKE RINGS WINSTON SALEM-WS (NC),Shipping,Shipping Tracking: 1Z90V7160333421543,862,admin,2,$0.00,$0.00,$0.00,6.00,2.00
01-05-2026,10095,25189,76284,860,Shipping,11,Shipping,1207 S Kerr Ave,Wilmington,North Carolina,28403,ADM,SMOKE RINGS WILMINGTON-WT (NC),Shipping,Shipping Tracking: 1Z90V7160306727630,860,admin,2,$0.00,$0.00,$0.00,6.00,2.00
01-05-2026,10096,25190,76282,979,Shipping,11,Shipping,106 Bratton Dr Suite 4,Garner,North Carolina,27529,ADM,SMOKE RINGS GARNER-RA2 (NC),Shipping,Shipping Tracking: 1Z90V7160320779138,979,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10097,25191,76286,985,Shipping,11,Shipping,2511 Battleground Ave Unit C,Greensboro,North Carolina,27408,ADM,SMOKE RINGS GREENSBORO-GB2 (NC),Shipping,Shipping Tracking: 1Z90V7160336307966,985,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10098,25192,76292,1068,Shipping,11,Shipping,1728 Fordham Blvd Suite 147,Chapel Hill,North Carolina,27517,ADM,SMOKE RINGS CHAPEL HILL-CH2 (NC),Shipping,Shipping Tracking: 1Z90V7160309463464,1068,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10099,25195,76330,1018,Shipping,11,Shipping,"405 W. University Dr.
Suite 102",Tempe,Arizona,85281,ADM,WILD SIDE TEMPE-TP (AZ),Shipping,Shipping Tracking: 1Z90V7160307506680,1018,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10100,25196,76740,245,Shipping,11,Shipping,607 n Orchard,boise,Idaho,83706,ADM,Elevated Alternatives,Shipping,Shipping Tracking: WILL CALL,245,admin,1,$0.00,$0.00,$0.00,5.00,1.00
01-05-2026,10102,25197,76676,1418,Shipping,11,Shipping,203 Caldwell Blvd,Nampa,Idaho,83651,ADM,Viable Alternatives - Nampa,Shipping,Shipping Tracking: WILL CALL,1418,admin,1,$0.00,$0.00,$0.00,2.00,1.00
01-05-2026,10103,25198,76331,977,Shipping,11,Shipping,6527 S Cedar St. Suite A,Lansing,Michigan,48911,ADM,WILD SIDE LANSING-LS (MI),Shipping,Shipping Tracking: 1Z90V7160313666095,977,admin,2,$0.00,$0.00,$0.00,6.00,2.00
01-05-2026,10105,25200,76332,1003,Shipping,11,Shipping,2850 Johnson Dr Suite C,Ventura,California,93003,ADM,WILD SIDE VENTURA-JOHNSON (CA),Shipping,Shipping Tracking: 1Z90V7160306482707,1003,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10107,25202,76486,1447,Shipping,11,Shipping,655 N Five Mile Road,Boise,Idaho,83713,ADM,Good Vibes Boise,Shipping,Shipping Tracking: WILL CALL,1447,admin,1,$0.00,$0.00,$0.00,3.00,1.00
01-05-2026,10108,25203,76338,861,Shipping,11,Shipping,25 Enfield St,Enfield,Connecticut,6082,ADM,SMOKE ZONE ENFIELD-EN (CT),Shipping,Shipping Tracking: 1Z90V7160336001590,861,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10110,25205,76340,863,Shipping,11,Shipping,1350 Elm St,Manchester,New Hampshire,3101,ADM,WILD SIDE MANCHESTER-MC1 (NH),Shipping,Shipping Tracking: 1Z90V7160314663756,863,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10112,25206,76337,849,Shipping,11,Shipping,"820 Nw 9th St, Suite 104",corvallis,Oregon,97330,ADM,WILD SIDE CORVALLIS-CV (OR),Shipping,Shipping Tracking: 1Z90V7160301601140,849,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10113,25207,76339,854,Shipping,11,Shipping,"1194 Highway 544 , Unit 3",Conway,South Carolina,29526,ADM,WILD SIDE CONWAY-CW (SC),Shipping,Shipping Tracking: 1Z90V7160323348026,854,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10114,25208,76333,1024,Shipping,11,Shipping,1029 W. University Ave,Gainesville,Florida,32601,ADM,WILD SIDE GAINESVILLE-GV2 (FL),Shipping,Shipping Tracking: 1Z90V7160321239979,1024,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10115,25209,76334,1071,Shipping,11,Shipping,604 S. Neil St. Suite 103,Champaign,Illinois,61820,ADM,WILD SIDE CHAMPAIGN-CP2 (IL),Shipping,Shipping Tracking: 1Z90V7160330023185,1071,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10116,25210,76335,857,Shipping,11,Shipping,"4802 S. Center St., Suite B",Tacoma,Washington,98409,ADM,WILD SIDE TACOMA-TC (WA),Shipping,Shipping Tracking: 1Z90V7160315115739,857,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-05-2026,10118,25213,76328,1155,Shipping,11,Shipping,4901 Levick Street,philadelphia,Pennsylvania,19135,DW,Tacony,Shipping,Shipping,1155,DerekW,1,$400.00,$400.00,$0.05,2.00,1.00
01-05-2026,10118,25213,76488,1155,Shipping,11,Shipping,4901 Levick Street,philadelphia,Pennsylvania,19135,DW,Tacony,Shipping,Shipping Tracking: https://www.saia.com/track/details;pro=77121490800,1155,DerekW,1,$0.00,$0.00,$0.00,3.00,1.00
01-05-2026,10119,25214,76384,1478,Shipping,11,Shipping,6485 E River Rd,Fridley,Minnesota,55432,ADM,River Tobacco,Shipping,Shipping,1478,admin,1,$0.00,$0.00,$0.05,2.00,1.00
01-05-2026,10119,25214,76394,1478,Shipping,11,Shipping,6485 E River Rd,Fridley,Minnesota,55432,ADM,River Tobacco,Shipping,Shipping Tracking: 1Z90V7160306696576,1478,admin,1,$0.00,$0.00,$0.00,3.00,1.00
01-05-2026,10120,25215,76398,1235,Shipping,11,Shipping,1810 parkway view dr,pittsburgh,Pennsylvania,15205,DW,pittsburgh wholesale,Shipping,Shipping Tracking: 1Z90V7160334184110,1235,DerekW,1,$0.00,$0.00,$0.00,2.00,1.00
01-06-2026,10127,25231,76417,2052,Acrylic-007,199,Acrylic-007,11114 E US HWY 24,Sugar Creek,Missouri,64054,ADM,Wild Side Sugar Creek (MO),Acrylic-007,4-Tier Acrylic Focus+Flow Topper-  Empty White,2052,admin,2,$0.00,$0.00,$0.00,8.00,2.00
01-06-2026,10080,25174,76427,1675,CC Processing,74,CC Processing,1829 Dell Range Blvd,Cheyenne,Wyoming,82009,BG,Pluto's Smoke Shop | WY,CC Processing,Credit Card Processing Fee,1675,BrandonG,1,$23.64,$23.64,$0.00,5.00,1.00
01-06-2026,10117,25211,76426,2047,CC Processing,74,CC Processing,1503 W STATE HWY J,OZARK,Missouri,65721,BW,2 CHICKS AND A HEADSHOP,CC Processing,Credit Card Processing Fee,2047,BenW,1,$43.20,$43.20,$0.00,3.00,1.00
01-06-2026,10122,25216,76478,1158,CC Processing,74,CC Processing,1421 Holmes Rd,Elgin,Illinois,60123,ADM,Jay Maha Inc,CC Processing,Credit Card Processing Fee,1158,admin,1,$21.12,$21.12,$0.00,3.00,1.00
01-06-2026,10125,25229,76402,1428,CC Processing,74,CC Processing,1001 Coffeen Ave,Sheridan,Wyoming,82801,BG,iCloud Vape and Smoke | Sheridan,CC Processing,Credit Card Processing Fee,1428,BrandonG,1,$61.56,$61.56,$0.00,2.00,1.00
01-06-2026,10126,25230,76404,1023,CC Processing,74,CC Processing,"ATTN: Eli, 1215 S Douglas Hwy",Gillette,Wyoming,82716,BG,iCloud Vape and Smoke 2 | Gilette,CC Processing,Credit Card Processing Fee,1023,BrandonG,1,$61.56,$61.56,$0.00,2.00,1.00
01-06-2026,10128,25233,76415,1463,CC Processing,74,CC Processing,1934 Sheridan Avenue,Cody,Wyoming,82414,BG,Capitol Botanicals | WY,CC Processing,Credit Card Processing Fee,1463,BrandonG,1,$8.37,$8.37,$0.00,4.00,1.00
01-06-2026,10129,25235,76443,1783,CC Processing,74,CC Processing,146-33 35th Ave,Flushing,New York,11354,DW,Noreservations,CC Processing,Credit Card Processing Fee,1783,DerekW,1,$7.58,$7.58,$0.00,3.00,1.00
01-06-2026,10136,25251,76495,1076,CC Processing,74,CC Processing,1233 e beamer st Suite E1,woodland,California,95776,BW,woodland distributors,CC Processing,Credit Card Processing Fee,1076,BenW,1,$278.40,$278.40,$0.00,3.00,1.00
01-06-2026,10128,25233,76416,1463,KB-2004,212,KB-2004,1934 Sheridan Avenue,Cody,Wyoming,82414,BG,Capitol Botanicals | WY,KB-2004,RAW 60 ml single bottle,1463,BrandonG,3,$0.00,$0.00,$0.00,5.00,1.00
01-06-2026,10080,25174,76214,1675,KB-3000,207,KB-3000,1829 Dell Range Blvd,Cheyenne,Wyoming,82009,BG,Pluto's Smoke Shop | WY,KB-3000,Focus+Flow 12PK,1675,BrandonG,8,$60.00,$480.00,$41.96,1.00,1.00
01-06-2026,10086,25180,76400,1055,KB-3000,207,KB-3000,13015 Abercorn St. Unit E 3A,Savannah,Georgia,31419,ADM,WILD SIDE SAVANNAH-SA (GA),KB-3000,Focus+Flow 12PK,1055,admin,18,$55.80,"$1,004.40",$94.40,4.00,2.00
